setting,set_heads,hidden_dim,val_acc,test_acc
slow,16,256,100.000,85.665
slow,16,512,100.000,84.888
slow,16,1024,100.000,82.038
slow,32,256,100.000,84.801
slow,32,512,100.000,86.960
slow,32,1024,100.000,86.615
slow,64,256,100.000,83.938
slow,64,512,100.000,84.370
slow,64,1024,100.000,83.161
slow,128,256,100.000,87.133
slow,128,512,100.000,88.601
slow,128,1024,100.000,86.874
mid,16,256,100.000,87.133
mid,16,512,100.000,85.406
mid,16,1024,100.000,86.442
mid,32,256,100.000,86.097
mid,32,512,100.000,88.687
mid,32,1024,100.000,83.851
mid,64,256,100.000,83.938
mid,64,512,100.000,87.478
mid,64,1024,100.000,83.679
mid,128,256,100.000,84.024
mid,128,512,100.000,87.651
mid,128,1024,100.000,85.579
