batch_size,set_heads,hidden_dim,val_acc,test_acc
64,8,64,100.000,75.734
64,8,128,100.000,76.079
64,8,256,100.000,81.002
64,8,512,100.000,82.297
64,8,1024,100.000,81.174
64,16,64,100.000,78.411
64,16,128,100.000,79.965
64,16,256,100.000,78.152
64,16,512,100.000,83.333
64,16,1024,100.000,81.434
64,32,64,100.000,79.534
64,32,128,100.000,78.238
64,32,256,100.000,83.592
64,32,512,100.000,81.606
64,32,1024,100.000,80.052
64,64,64,100.000,75.475
64,64,128,100.000,84.197
64,64,256,100.000,79.361
64,64,512,100.000,80.915
64,64,1024,100.000,77.979
128,8,64,99.550,79.793
128,8,128,100.000,80.743
128,8,256,100.000,76.770
128,8,512,100.000,82.902
128,8,1024,100.000,80.484
128,16,64,100.000,82.383
128,16,128,100.000,82.642
128,16,256,100.000,84.629
128,16,512,100.000,83.765
128,16,1024,100.000,81.865
128,32,64,99.550,75.648
128,32,128,100.000,78.411
128,32,256,100.000,80.570
128,32,512,100.000,81.520
128,32,1024,100.000,80.829
128,64,64,99.550,82.124
128,64,128,100.000,79.275
128,64,256,100.000,83.506
128,64,512,100.000,82.297
128,64,1024,100.000,80.052
256,8,64,98.198,80.225
256,8,128,98.198,80.743
256,8,256,100.000,80.829
256,8,512,100.000,82.815
256,8,1024,100.000,82.556
256,16,64,97.748,71.762
256,16,128,100.000,84.370
256,16,256,100.000,83.506
256,16,512,100.000,82.902
256,16,1024,100.000,81.520
256,32,64,98.649,83.765
256,32,128,98.649,75.734
256,32,256,100.000,82.988
256,32,512,100.000,82.038
256,32,1024,100.000,80.915
256,64,64,97.748,80.138
256,64,128,100.000,82.642
256,64,256,100.000,83.420
256,64,512,100.000,82.470
256,64,1024,100.000,79.879
