batch_size,set_heads,hidden_dim,val_acc,test_acc
128,1,16,88.739,73.661
128,1,32,98.198,76.079
128,1,64,100.000,81.002
128,2,16,92.342,70.035
128,2,32,99.550,76.511
128,2,64,99.550,82.988
128,4,16,96.847,70.294
128,4,32,99.099,81.865
128,4,64,100.000,82.556
128,8,16,89.640,70.035
128,8,32,100.000,80.656
128,8,64,100.000,82.038
128,16,16,98.649,69.862
128,16,32,99.099,79.793
128,16,64,100.000,82.124
