setting,set_heads,hidden_dim,val_acc,test_acc
slow,16,128,100.000,87.219
slow,16,256,100.000,84.629
slow,32,128,100.000,88.860
slow,32,256,100.000,84.715
slow,64,128,100.000,85.838
slow,64,256,100.000,87.737
mid,16,128,100.000,85.320
mid,16,256,100.000,86.097
mid,32,128,100.000,87.306
mid,32,256,100.000,85.320
mid,64,128,100.000,87.047
mid,64,256,100.000,86.701
