batch_size,set_heads,hidden_dim,val_acc,test_acc
128,1,64,100.000,78.497
128,1,128,100.000,79.016
128,1,256,100.000,82.211
128,1,512,100.000,84.111
128,1,1024,100.000,81.693
128,2,64,99.099,82.297
128,2,128,100.000,82.815
128,2,256,100.000,80.397
128,2,512,100.000,83.679
128,2,1024,100.000,81.261
128,4,64,99.550,80.570
128,4,128,100.000,79.879
128,4,256,100.000,84.801
128,4,512,100.000,82.729
128,4,1024,100.000,82.902
128,8,64,99.550,77.461
128,8,128,100.000,84.542
128,8,256,100.000,80.138
128,8,512,100.000,82.729
128,8,1024,100.000,82.383
128,16,64,99.550,80.052
128,16,128,100.000,81.347
128,16,256,100.000,77.288
128,16,512,100.000,80.397
128,16,1024,100.000,77.461
