setting,set_heads,hidden_dim,val_acc,test_acc
slow,4,128,99.91 ± 0.36,95.49 ± 11.30
slow,4,256,99.95 ± 0.41,96.81 ± 12.62
slow,4,512,99.88 ± 0.33,97.01 ± 12.82
slow,8,128,99.89 ± 0.34,96.63 ± 12.44
slow,8,256,99.91 ± 0.36,96.93 ± 12.74
slow,8,512,99.88 ± 0.33,97.01 ± 12.82
slow,16,128,99.88 ± 0.33,96.79 ± 12.60
slow,16,256,99.90 ± 0.35,96.96 ± 12.77
