setting,set_heads,hidden_dim,val_acc,test_acc
slow,16,128,100.000,87.219
slow,16,128,100.000,88.256
slow,16,128,100.000,80.743
slow,16,128,100.000,85.579
slow,16,128,100.000,88.342
slow,16,128,100.000,86.701
slow,16,128,100.000,86.010
slow,16,128,100.000,87.910
slow,16,128,100.000,86.788
slow,16,128,100.000,83.938
mid,16,128,100.000,88.169
mid,16,128,100.000,88.515
mid,16,128,100.000,88.083
mid,16,128,100.000,84.974
mid,16,128,100.000,85.579
mid,16,128,100.000,87.392
mid,16,128,100.000,87.737
mid,16,128,100.000,85.406
mid,16,128,100.000,84.111
mid,16,128,100.000,86.960
