used_model,n_heads,set_transf_hidden,val_acc,test_acc
0,4,128,92.07 ± 3.78,78.27 ± 5.30
1,4,128,92.07 ± 3.78,78.27 ± 5.30
2,4,128,92.07 ± 3.78,78.27 ± 5.30
