used_model,n_heads,set_transf_hidden,val_acc,test_acc
0,4,128,88.29 ± 2.70,76.53 ± 5.11
1,4,128,88.29 ± 2.70,76.53 ± 5.11
2,4,128,88.29 ± 2.70,76.53 ± 5.11
