n_heads,set_transf_hidden,p2s_decoy,lr,val_acc,test_acc
4,128,False,0.01,92.34 ± 2.15,77.88 ± 3.92
4,128,False,0.001,92.34 ± 2.05,79.10 ± 4.05
4,128,False,0.0001,90.45 ± 2.30,77.22 ± 2.75
4,128,False,1e-05,81.80 ± 0.84,72.94 ± 2.70
4,128,False,1e-06,67.21 ± 3.40,62.04 ± 5.06
