feature_name, count
fft_coefficient__attr_"real"__coeff_26;12
fft_coefficient__attr_"angle"__coeff_73;4
fft_coefficient__attr_"imag"__coeff_58;18
quantile__q_0.9;7
agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"var";6
fft_coefficient__attr_"angle"__coeff_37;1
fft_coefficient__attr_"abs"__coeff_57;8
fft_coefficient__attr_"angle"__coeff_28;17
fft_coefficient__attr_"imag"__coeff_38;6
number_peaks__n_10;15
fft_coefficient__attr_"abs"__coeff_47;6
fft_coefficient__attr_"abs"__coeff_3;2
fft_coefficient__attr_"angle"__coeff_18;5
lempel_ziv_complexity__bins_3;3
quantile__q_0.7;2
fft_coefficient__attr_"angle"__coeff_20;7
fft_coefficient__attr_"abs"__coeff_25;8
friedrich_coefficients__coeff_3__m_3__r_30;9
fft_coefficient__attr_"real"__coeff_47;6
linear_trend__attr_"stderr";16
agg_linear_trend__attr_"slope"__chunk_len_50__f_agg_"mean";5
fft_coefficient__attr_"real"__coeff_22;11
partial_autocorrelation__lag_4;5
index_mass_quantile__q_0.1;6
index_mass_quantile__q_0.3;4
fft_coefficient__attr_"real"__coeff_62;1
agg_linear_trend__attr_"intercept"__chunk_len_50__f_agg_"var";1
first_location_of_maximum;2
cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20);6
fft_coefficient__attr_"abs"__coeff_34;4
fft_coefficient__attr_"imag"__coeff_13;4
change_quantiles__f_agg_"mean"__isabs_True__qh_0.8__ql_0.6;10
augmented_dickey_fuller__attr_"usedlag"__autolag_"AIC";1
partial_autocorrelation__lag_3;3
agg_linear_trend__attr_"slope"__chunk_len_10__f_agg_"var";4
fft_coefficient__attr_"real"__coeff_9;2
fft_coefficient__attr_"angle"__coeff_22;1
change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.2;3
fft_coefficient__attr_"real"__coeff_78;1
fft_coefficient__attr_"angle"__coeff_78;3
fft_coefficient__attr_"angle"__coeff_48;2
fft_coefficient__attr_"angle"__coeff_12;1
fft_coefficient__attr_"angle"__coeff_13;4
fft_coefficient__attr_"real"__coeff_90;11
fft_coefficient__attr_"angle"__coeff_94;2
change_quantiles__f_agg_"mean"__isabs_True__qh_0.4__ql_0.2;11
cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20);1
cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20);5
cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20);3
fft_coefficient__attr_"abs"__coeff_31;1
fft_coefficient__attr_"angle"__coeff_6;11
autocorrelation__lag_5;6
partial_autocorrelation__lag_6;3
cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20);2
fft_coefficient__attr_"imag"__coeff_76;7
fft_coefficient__attr_"imag"__coeff_65;1
change_quantiles__f_agg_"mean"__isabs_False__qh_1.0__ql_0.6;24
max_langevin_fixed_point__m_3__r_30;3
fft_coefficient__attr_"abs"__coeff_50;18
fft_coefficient__attr_"abs"__coeff_61;8
change_quantiles__f_agg_"mean"__isabs_False__qh_1.0__ql_0.0;6
first_location_of_minimum;4
fft_coefficient__attr_"imag"__coeff_14;5
fft_aggregated__aggtype_"centroid";5
cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20);2
quantile__q_0.4;1
fft_coefficient__attr_"real"__coeff_32;7
has_duplicate_max;3
percentage_of_reoccurring_values_to_all_values;6
count_below_mean;7
fft_coefficient__attr_"abs"__coeff_12;4
fft_coefficient__attr_"angle"__coeff_86;1
cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20);7
fft_coefficient__attr_"real"__coeff_77;2
fft_coefficient__attr_"imag"__coeff_57;1
fft_coefficient__attr_"abs"__coeff_8;5
sample_entropy;1
fft_coefficient__attr_"imag"__coeff_21;1
cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20);3
agg_linear_trend__attr_"slope"__chunk_len_5__f_agg_"max";2
spkt_welch_density__coeff_5;1
fft_coefficient__attr_"real"__coeff_21;1
fft_coefficient__attr_"angle"__coeff_69;6
ar_coefficient__coeff_0__k_10;2
fft_coefficient__attr_"angle"__coeff_90;1
fourier_entropy__bins_10;7
partial_autocorrelation__lag_7;2
fft_coefficient__attr_"real"__coeff_75;7
cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20);9
ar_coefficient__coeff_3__k_10;1
fft_coefficient__attr_"real"__coeff_79;1
fft_coefficient__attr_"abs"__coeff_45;1
fft_coefficient__attr_"angle"__coeff_14;12
linear_trend__attr_"intercept";2
partial_autocorrelation__lag_9;2
kurtosis;3
change_quantiles__f_agg_"mean"__isabs_False__qh_0.8__ql_0.6;1
fft_coefficient__attr_"abs"__coeff_84;1
fft_coefficient__attr_"abs"__coeff_29;4
cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20);4
friedrich_coefficients__coeff_0__m_3__r_30;4
fft_coefficient__attr_"angle"__coeff_58;3
fft_coefficient__attr_"abs"__coeff_19;2
fft_coefficient__attr_"real"__coeff_68;1
fft_coefficient__attr_"angle"__coeff_35;2
variation_coefficient;1
partial_autocorrelation__lag_8;2
agg_linear_trend__attr_"intercept"__chunk_len_10__f_agg_"max";3
fft_coefficient__attr_"angle"__coeff_68;3
fft_coefficient__attr_"abs"__coeff_1;4
fft_coefficient__attr_"imag"__coeff_27;1
fft_coefficient__attr_"imag"__coeff_87;2
fft_coefficient__attr_"angle"__coeff_54;6
fft_coefficient__attr_"imag"__coeff_81;1
fft_coefficient__attr_"angle"__coeff_9;2
fft_coefficient__attr_"real"__coeff_16;1
energy_ratio_by_chunks__num_segments_10__segment_focus_0;1
fft_coefficient__attr_"angle"__coeff_56;2
ar_coefficient__coeff_2__k_10;1
ratio_beyond_r_sigma__r_3;3
absolute_sum_of_changes;4
agg_linear_trend__attr_"intercept"__chunk_len_5__f_agg_"mean";1
fft_coefficient__attr_"real"__coeff_24;2
fft_coefficient__attr_"angle"__coeff_76;1
fft_coefficient__attr_"angle"__coeff_96;1
permutation_entropy__dimension_7__tau_1;1
median;1
fft_coefficient__attr_"angle"__coeff_55;3
fft_coefficient__attr_"imag"__coeff_37;1
fft_coefficient__attr_"abs"__coeff_96;1
fft_coefficient__attr_"abs"__coeff_23;1
energy_ratio_by_chunks__num_segments_10__segment_focus_1;2
quantile__q_0.3;1
energy_ratio_by_chunks__num_segments_10__segment_focus_9;3
fft_coefficient__attr_"imag"__coeff_5;1
cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20);1
cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20);1
fft_coefficient__attr_"real"__coeff_37;1
fft_coefficient__attr_"angle"__coeff_0;1
fft_coefficient__attr_"imag"__coeff_16;2
fft_coefficient__attr_"angle"__coeff_91;1
fft_coefficient__attr_"angle"__coeff_98;1
cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20);1
change_quantiles__f_agg_"mean"__isabs_False__qh_1.0__ql_0.2;1
change_quantiles__f_agg_"mean"__isabs_True__qh_0.4__ql_0.0;2
fft_coefficient__attr_"angle"__coeff_74;2
fft_coefficient__attr_"imag"__coeff_2;1
cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20);1
fourier_entropy__bins_5;1
agg_linear_trend__attr_"rvalue"__chunk_len_5__f_agg_"mean";1
change_quantiles__f_agg_"mean"__isabs_False__qh_0.4__ql_0.0;1
cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20);1
fft_coefficient__attr_"abs"__coeff_54;1
fft_coefficient__attr_"abs"__coeff_95;1
fft_coefficient__attr_"abs"__coeff_40;1
fft_coefficient__attr_"abs"__coeff_28;1
fft_coefficient__attr_"imag"__coeff_39;1
fourier_entropy__bins_3;1
agg_autocorrelation__f_agg_"mean"__maxlag_40;1
