n_segments,alphabet_size,n_heads,set_transf_hidden,xil_weight,lr,val_acc,test_acc
64,4,4,128,1e-06,0.0001,87.45 ± 0.00,87.84 ± 0.00
64,4,4,128,1e-05,0.0001,87.45 ± 0.00,87.84 ± 0.00
64,4,4,128,0.0001,0.0001,87.45 ± 0.00,87.84 ± 0.00
64,4,4,128,0.001,0.0001,87.45 ± 0.00,87.84 ± 0.00
64,4,4,128,0.005,0.0001,81.39 ± 0.00,83.24 ± 0.00
64,4,4,128,0.01,0.0001,81.82 ± 0.00,83.60 ± 0.00
64,4,4,128,0.05,0.0001,80.52 ± 0.00,87.03 ± 0.00
64,4,4,128,0.1,0.0001,59.31 ± 0.00,79.91 ± 0.00
64,4,4,128,0.5,0.0001,50.22 ± 0.00,52.25 ± 0.00
