n_segments,alphabet_size,n_heads,set_transf_hidden,p2s_decoy,xil,xil_weight,tr_acc,val_acc,test_acc,train_acc
32,64,4,128,True,False,0.0001,True,99.48 ± 0.42,85.59 ± 1.17,100.00 ± 0.00
32,64,4,128,True,True,0.0001,True,99.57 ± 0.39,85.75 ± 1.85,100.00 ± 0.00
