n_segments,alphabet_size,n_heads,set_transf_hidden,xil_weight,lr,val_acc,test_acc
32,10,4,128,0.1,1e-06,83.12 ± 0.00,30.99 ± 0.00
32,10,4,128,0.1,1e-05,96.54 ± 0.00,63.69 ± 0.00
32,10,4,128,1,1e-06,83.12 ± 0.00,30.99 ± 0.00
32,10,4,128,1,1e-05,96.54 ± 0.00,63.69 ± 0.00
32,10,4,128,10,1e-06,83.12 ± 0.00,30.99 ± 0.00
