n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
32,8,4,128,0.0001,92.61 ± 0.27,84.20 ± 2.25
32,10,4,128,0.0001,92.93 ± 0.59,89.21 ± 7.25
32,12,4,128,0.0001,93.81 ± 2.13,91.36 ± 9.41
32,14,4,128,0.0001,94.41 ± 2.43,92.41 ± 10.46
32,16,4,128,0.0001,95.08 ± 3.12,92.15 ± 10.20
