n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
32,10,4,128,0.0001,93.24 ± 0.00,94.21 ± 0.17
64,10,4,128,0.0001,93.92 ± 1.13,92.61 ± 1.93
128,10,4,128,0.0001,94.71 ± 1.68,93.12 ± 2.45
256,10,4,128,0.0001,95.23 ± 1.98,93.53 ± 2.86
512,10,4,128,0.0001,95.64 ± 2.40,93.98 ± 3.31
