n_segments,alphabet_size,n_heads,set_transf_hidden,p2s_decoy,xil,xil_weight,val_acc,test_acc
32,4,4,128,True,False,0.0001,95.24 ± 0.00,64.45 ± 1.33
32,4,4,128,True,True,0.0001,95.24 ± 0.00,64.52 ± 0.77
