n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
8,10,4,128,0.0001,71.26 ± 0.18,70.69 ± 0.82
16,10,4,128,0.0001,83.38 ± 12.12,80.70 ± 10.03
32,10,4,128,0.0001,86.67 ± 10.93,85.20 ± 10.37
64,10,4,128,0.0001,88.65 ± 10.07,86.65 ± 9.33
128,10,4,128,0.0001,90.18 ± 9.52,88.15 ± 8.87
