n_segments,alphabet_size,n_heads,set_transf_hidden,xil_weight,lr,val_acc,test_acc
64,4,4,128,0.05,0.0001,80.52 ± 0.00,87.03 ± 0.00
64,4,4,128,0.1,0.0001,59.31 ± 0.00,79.91 ± 0.00
64,4,4,128,0.5,0.0001,50.22 ± 0.00,52.25 ± 0.00
