n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
32,10,4,128,0.1,55.41 ± 0.00,50.00 ± 0.00
32,10,4,128,0.05,55.41 ± 0.00,50.00 ± 0.00
32,10,4,128,0.01,67.93 ± 25.32,64.50 ± 30.15
32,10,4,128,0.015,70.50 ± 24.10,67.39 ± 27.26
32,10,4,128,0.001,74.95 ± 19.64,72.69 ± 22.69
