n_segments,alphabet_size,n_heads,set_transf_hidden,xil_weight,lr,val_acc,test_acc
64,4,4,128,0.0001,1e-05,81.39 ± 0.00,83.24 ± 0.00
64,4,4,128,0.0001,0.0001,87.45 ± 0.00,87.84 ± 0.00
64,4,4,128,0.0001,0.001,86.58 ± 0.00,87.30 ± 0.00
64,4,4,128,0.0001,0.01,49.78 ± 0.00,47.75 ± 0.00
