n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
128,4,4,128,0.0001,88.02 ± 1.98,93.89 ± 2.09
128,8,4,128,0.0001,89.19 ± 3.15,92.26 ± 3.06
128,16,4,128,0.0001,92.07 ± 6.13,93.94 ± 4.74
128,32,4,128,0.0001,93.72 ± 7.68,94.93 ± 5.72
128,64,4,128,0.0001,94.72 ± 8.68,95.45 ± 6.24
256,4,4,128,0.0001,94.22 ± 8.18,95.20 ± 5.99
256,8,4,128,0.0001,93.91 ± 7.88,94.53 ± 5.32
256,16,4,128,0.0001,94.38 ± 8.34,94.96 ± 5.75
256,32,4,128,0.0001,94.90 ± 8.87,95.25 ± 6.05
256,64,4,128,0.0001,95.30 ± 9.26,95.47 ± 6.27
512,4,4,128,0.0001,94.90 ± 8.86,95.41 ± 6.20
512,8,4,128,0.0001,94.58 ± 8.54,94.95 ± 6.00
512,16,4,128,0.0001,94.84 ± 8.80,95.14 ± 6.19
512,32,4,128,0.0001,95.14 ± 9.11,95.34 ± 6.39
512,64,4,128,0.0001,95.38 ± 9.35,95.51 ± 6.56
