n_segments,alphabet_size,n_heads,set_transf_hidden,p2s_decoy,xil,xil_weight,val_acc,test_acc
32,4,4,128,True,True,1e-05,95.24 ± 0.00,63.78 ± 0.00
32,4,4,128,True,True,0.0001,95.24 ± 0.00,63.78 ± 0.00
32,4,4,128,True,True,0.001,95.24 ± 0.00,67.12 ± 0.00
