n_segments,alphabet_size,n_heads,set_transf_hidden,p2s_decoy,xil,xil_weight,val_acc,test_acc
64,4,4,128,True,False,1e-05,84.33 ± 2.54,87.91 ± 0.07
64,4,4,128,False,False,0.0001,88.11 ± 1.01,78.46 ± 1.49
