n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
32,10,4,128,0.1,55.41 ± 0.00,50.00 ± 0.00
32,10,4,128,0.01,74.19 ± 19.05,71.74 ± 22.90
32,10,4,128,0.001,80.39 ± 24.98,79.12 ± 29.12
32,10,4,128,0.0001,83.56 ± 28.15,82.86 ± 32.86
32,10,4,128,1e-05,80.13 ± 24.72,81.41 ± 31.41
32,10,4,128,1e-06,77.22 ± 21.82,79.30 ± 29.30
