n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
32,10,4,128,0.001,93.24 ± 0.45,93.87 ± 0.43
32,10,4,128,0.0001,93.24 ± 0.45,94.04 ± 0.60
32,10,4,128,1e-05,87.03 ± 14.05,89.07 ± 10.92
