n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
32,8,4,128,0.0001,92.70 ± 0.18,84.58 ± 1.42
32,10,4,128,0.0001,93.24 ± 0.00,94.21 ± 0.12
32,12,4,128,0.0001,95.59 ± 0.18,95.66 ± 0.37
32,14,4,128,0.0001,96.22 ± 0.46,95.56 ± 0.38
32,16,4,128,0.0001,97.75 ± 0.40,91.11 ± 0.31
