n_segments,alphabet_size,n_heads,set_transf_hidden,lr,val_acc,test_acc
32,8,4,128,0.0001,92.61 ± 0.22,84.20 ± 1.60
32,10,4,128,0.0001,92.93 ± 0.35,89.21 ± 5.14
32,12,4,128,0.0001,93.81 ± 1.29,91.36 ± 5.19
32,14,4,128,0.0001,94.41 ± 1.54,92.41 ± 4.85
32,16,4,128,0.0001,95.08 ± 1.93,92.15 ± 4.37
