n_segments,alphabet_size,set_heads,test_acc,val_acc
128,4,4,94.991,89.189
128,10,4,93.264,95.946
128,16,4,96.287,97.297
128,32,4,97.496,99.099
256,4,4,94.128,91.441
256,10,4,94.819,96.847
256,16,4,96.805,97.297
256,32,4,97.150,99.099
512,4,4,94.041,90.541
512,10,4,95.423,95.946
512,16,4,97.323,98.198
512,32,4,97.668,99.099
1024,4,4,94.819,90.090
1024,10,4,96.373,98.198
1024,16,4,97.237,97.297
1024,32,4,97.496,99.099
